title,authors,year,source
Predictive value of gut microbiota in long-term blood pressure control: a cross-sectional study,Kang G.,2023,European Journal of Medical Research
Parity and hypertension risk in couples: does number of parity matter: findings from Tehran Lipid and Glucose Study,Rahmati M.,2023,BMC Public Health
The association between tea consumption and blood pressure in the adult population in Southwest China,Zhao Y.,2023,BMC Public Health
How does HbA1c predict mortality and readmission in patients with heart failure? A protocol for systematic review and meta-analysis,Xu J.P.,2023,Systematic Reviews
Effects of music therapy as an alternative treatment on depression in children and adolescents with ADHD by activating serotonin and improving stress coping ability,Park J.I.,2023,BMC Complementary Medicine and Therapies
Surgical bleeding in patients undergoing posterior lumbar inter-body fusion surgery: a randomized clinical trial evaluating the effect of two mechanical ventilation mode types,Hajijafari M.,2023,European Journal of Medical Research
Risk of subclinical atherosclerosis across metabolic transition in individuals with or without fatty liver disease: a prospective cohort study,Xin Z.,2023,Nutrition and Metabolism
Interaction of hemorphins with ACE homologs,Jobe A.,2023,Scientific Reports
"Safety, Feasibility, and Acceptability of Telemedicine for Hypertension in Primary Care: A Proof-of-concept and Pilot Randomized Controlled Trial (SATE-HT)",Wang S.,2023,Journal of Medical Systems
A 50-year-old refugee woman with a lithopedion and a lifetime of trauma: a case report,Sous W.,2023,BMC Women's Health
Clinical characteristics and sequelae of intrapartum hypertension – a retrospective cohort study,Rajkumar T.,2023,BMC Pregnancy and Childbirth
Effects of dandelion root on rat heart function and oxidative status,Radoman K.,2023,BMC Complementary Medicine and Therapies
Genetic variation in salt taste receptors impact salt intake and blood pressure,Mohammadifard N.,2023,Scientific Reports
Effect of olmesartan and amlodipine on serum angiotensin-(1–7) levels and kidney and vascular function in patients with type 2 diabetes and hypertension,Kim K.,2023,Diabetology and Metabolic Syndrome
Management of PDA device closure complicated by severe hemolysis by transcatheter retrieval and deployment of new device,Rashid A.,2023,Egyptian Heart Journal
Different associations of general and abdominal obesity with upper and lower extremity artery disease among a community population in China,Wang Y.,2023,Nutrition and Metabolism
Central retinal microvasculature damage is associated with orthostatic hypotension in Parkinson’s disease,Ahn J.H.,2023,npj Parkinson's Disease
Peripheral artery disease in patients with schizophrenia as compared to controls,Jørgensen L.R.,2023,BMC Cardiovascular Disorders
Weight-dependent and weight-independent effects of dulaglutide on blood pressure in patients with type 2 diabetes,Ferdinand K.C.,2023,Cardiovascular Diabetology
Evaluation of early arterial wall lesions by elastography parameters in spontaneously hypertensive rats,Liu J.,2023,BMC Cardiovascular Disorders
Primary diffuse Rosai-Dorfman disease in central airway: a case report and literature review,Wu L.,2023,BMC Pulmonary Medicine
Associations of genetic markers of diabetes mellitus with carotid atherosclerosis: a community-based case–control study,Wu T.W.,2023,Cardiovascular Diabetology
The vascular function effects of adding exenatide or meal insulin to basal insulin therapy in early type 2 diabetes,Retnakaran R.,2023,Cardiovascular Diabetology
"The quality of vital signs measurements and value preferences in electronic medical records varies by hospital, specialty, and patient demographics",Jackson N.,2023,Scientific Reports
"Correspondence to the article by Wang et al., “Association between blood pressure and the risk of biopsy-induced endobronchial hemorrhage during bronchoscopy”",Govindasaami V.,2023,BMC Pulmonary Medicine
A novel clinical diagnostic marker predicting the relationship between visceral adiposity and renal function evaluated by estimated glomerular filtration rate (eGFR) in the Chinese physical examination population,Xu Y.,2023,Lipids in Health and Disease
Epigenome-wide association study in Chinese monozygotic twins identifies DNA methylation loci associated with blood pressure,Wang W.,2023,Clinical Epigenetics
"Significance of pulse pressure variability in predicting functional outcome in acute ischemic stroke: a retrospective, single-center, observational cohort study",Kamieniarz-Mędrygał M.,2023,Scientific Reports
An abrupt decrease in arterial blood pressure may predict a high level carbon dioxide embolism in retroperitoneoscopic surgery: case report and a literature review,Wang J.,2023,BMC Urology
Advanced tubal pregnancy at 34 weeks with eclampsia and HELLP syndrome: a case report and literature re,Liu Y.,2023,BMC Pregnancy and Childbirth
Effectiveness of an Interprofessional Program (Siscare) for Supporting Patients With Type 2 Diabetes,Bawab N.,2023,Diabetes Spectrum
Real-time quantification of intestinal perfusion and arterial versus venous occlusion using laser speckle contrast imaging in porcine model,Liu Y.Z.,2023,Langenbeck's Archives of Surgery
Association of apolipoprotein A1 with osteoporosis: a cross-sectional study,Sun X.,2023,BMC Musculoskeletal Disorders
Development and validation of a clinical nomogram for differentiating hemorrhagic and ischemic stroke prehospital,Ye S.,2023,BMC Neurology
Retrospective comparison of the effects of laryngeal mask and endotracheal tube on some cardio-respiratory variables in pet rabbits undergoing anaesthesia for elective gonadectomy,Bellini L.,2023,Acta Veterinaria Scandinavica
Diagnosis and treatment approaches for simultaneous onset of subarachnoid hemorrhage and thyroid storm: a case report,Ohya A.,2023,International Journal of Emergency Medicine
Fine mapping spatiotemporal mechanisms of genetic variants underlying cardiac traits and disease,D’Antonio M.,2023,Nature Communications
Effects of Intermittent Normobaric Hypoxia on Health-Related Outcomes in Healthy Older Adults: A Systematic Review,Timon R.,2023,Sports Medicine - Open
Chronic kidney disease promotes cerebral microhemorrhage formation,Fang C.,2023,Journal of Neuroinflammation
Microvascular reactivity using laser Doppler measurement in type 2 diabetes with subclinical atherosclerosis,Sun P.C.,2023,Lasers in Medical Science
Spontaneous retroperitoneal hematoma: a case report,Kurotaki T.,2023,Journal of Medical Case Reports
Non-invasive assessment of Pulse Wave Transit Time (PWTT) is a poor predictor for intraoperative fluid responsiveness: a prospective observational trial (best-PWTT study),Fukui K.,2023,BMC Anesthesiology
Genetic association analysis of rs662799 (− 1131A &gt; G) polymorphism of APOA5 gene with morphometric and physio-metric traits using multiplex PCR,Fatma R.,2023,Egyptian Journal of Medical Human Genetics
Impact of reboxetine plus oxybutynin treatment for obstructive sleep apnea on cardiovascular autonomic modulation,Perger E.,2023,Scientific Reports
11β-HSD1 inhibition in men mitigates prednisolone-induced adverse effects in a proof-of-concept randomised double-blind placebo-controlled trial,Othonos N.,2023,Nature Communications
"A randomized, double-blind trial comparing the effect of two blood pressure targets on global brain metabolism after out-of-hospital cardiac arrest",Mølstrøm S.,2023,Critical Care
Characteristics and efficacy of physical activity interventions to improve cardiometabolic and psychosocial outcomes in people living with HIV in sub-Saharan Africa: a protocol for a systematic review,Mabweazara S.,2023,Systematic Reviews
"Metabolic syndrome and thyroid Cancer: risk, prognosis, and mechanism",Li L.R.,2023,Discover Oncology
Endothelial function measured by peripheral arterial tonometry in patients with chronic myeloid leukemia on tyrosine kinase inhibitor therapy: a pilot study,Kaneko T.,2023,Cardio-Oncology
"Association of systolic, diastolic, mean, and pulse pressure with morbidity and mortality in septic ICU patients: a nationwide observational study",Khanna A.K.,2023,Annals of Intensive Care
Clinical factors associated with adverse clinical outcomes in elderly versus non-elderly COVID-19 emergency patients: a multi-center observational study,Puchongmart C.,2023,International Journal of Emergency Medicine
No signs of neurodegenerative effects in 15q11.2 BP1-BP2 copy number variant carriers in the UK Biobank,Boen R.,2023,Translational Psychiatry
Is conservative management safe in patients with acute ureterolithiasis and perirenal stranding?,Grossmann N.C.,2023,Urolithiasis
Uric acid and risk of pre-eclampsia: results from a large case–control study and meta-analysis of prospective studies,Colmenares-Mejia C.C.,2023,Scientific Reports
"Efficacy and safety of Obex® in overweight and obese subjects: a randomised, double-blind, placebo-controlled clinical trial",Cabrera-Rode E.,2023,BMC Complementary Medicine and Therapies
Neurofibromatosis-Noonan syndrome and growth deficiency in an Iranian girl due to a pathogenic variant in NF1 gene,Dalili S.,2023,Human Genomics
ER ribosomal-binding protein 1 regulates blood pressure and potassium homeostasis by modulating intracellular renin trafficking,Chiu C.H.,2023,Journal of Biomedical Science
Angiotensin converting enzyme (ACE) inhibitors activity from purified compounds Fructus Phaleria macrocarpa (Scheff) Boerl,Eff A.R.Y.,2023,BMC Complementary Medicine and Therapies
Long-term increase in fasting blood glucose is associated with increased risk of sudden cardiac arrest,Kim Y.G.,2023,Cardiovascular Diabetology
Choroid and choriocapillaris changes in early-stage Parkinson’s disease: a swept-source optical coherence tomography angiography-based cross-sectional study,Uzun S.,2023,Alzheimer's Research and Therapy
Very low-calorie ketogenic diet (VLCKD): an antihypertensive nutritional approach,Barrea L.,2023,Journal of Translational Medicine
Spinal injury with spinal ankylosing disorders as a primary cause of death: report of two cases,Miyake T.,2023,International Journal of Emergency Medicine
Usability Evaluation of Connected Health Devices in Home Monitoring: Toward Devices Adapted to the Characteristics of Informal Caregivers,Cardon C.,2023,Journal of Medical Systems
Absence of fluctuation and inverted circadian rhythm of blood pressure increase the risk of cognitive dysfunction in cerebral small vessel disease patients,Xu Y.,2023,BMC Neurology
"Echocardiographic parameters in French Bulldogs, Pugs and Boston Terriers with brachycephalic obstructive airways syndrome",Brložnik M.,2023,BMC Veterinary Research
The association of osteoporosis and geriatric syndromes in the elderly: data from the Russian epidemiological study EVKALIPT,Dudinskaya E.N.,2023,Archives of Osteoporosis
A West Nile Virus infection expressed as unilateral limb paralysis and complicated by Parsonage–Turner syndrome: a case report,Scarciglia A.,2023,Journal of Medical Case Reports
The effect of combining therapeutic drug monitoring of antihypertensive drugs with personalised feedback on adherence and resistant hypertension: the (RHYME-RCT) trial protocol of a multi-centre randomised controlled trial,Peeters L.E.J.,2023,BMC Cardiovascular Disorders
The 2022 focused update of the 2018 Korean Hypertension Society Guidelines for the management of hypertension,Kim H.L.,2023,Clinical Hypertension
Influence of systolic blood pressure trajectory on in-hospital mortality in patients with sepsis,Zhu J.L.,2023,BMC Infectious Diseases
OAGB with shortened excluded ileal loop as an effective treatment for type 2 diabetes mellitus in the cases of Caucasian men and women with obesity of the first degree (BMI 30–35 kg/m<sup>2</sup>),Jaworski P.,2023,Langenbeck's Archives of Surgery
Comparative assessment of coronary physiology using transthoracic pulsed-wave Doppler and myocardial contrast echocardiography in rats,Billig S.,2023,European Radiology Experimental
Development and perceived usability evaluation of an interactive smartphone application for the teaching of hemodynamics and evaluation of arterial pulse pressure variation,Barbosa O.A.,2023,BMC Medical Informatics and Decision Making
"Diverse associations between adiposity and blood pressure among 80,000 multi-ethnic Chinese adults",Chen J.,2023,BMC Public Health
Renal nerve stimulation identifies renal innervation and optimizes the strategy for renal denervation in canine,Liu H.,2023,Journal of Translational Medicine
The effects of soymilk plus probiotics supplementation on cardiovascular risk factors in patients with type 2 diabetes mellitus: a randomized clinical trial,Hasanpour A.,2023,BMC Endocrine Disorders
N-terminal pro–B-type natriuretic peptide levels in normotensive and hypertensive dogs with myxomatous mitral valve disease stage B,Jang I.S.,2023,Irish Veterinary Journal
Respiratory patterns and baroreflex function in heart failure,Radaelli A.,2023,Scientific Reports
Nitrate-rich beet juice intake on cardiovascular performance in response to exercise in postmenopausal women with arterial hypertension: study protocol for a randomized controlled trial,Benjamim C.J.R.,2023,Trials
Evaluation of myocardial performance by serial speckle tracking echocardiography in diagnosis and follow-up of a patient with eosinophilic myocarditis,Sharifkazemi M.,2023,Echo Research and Practice
"Angiomyolipoma with epithelial cysts, an unexpected discovery in a gunshot abdomen: a single case report",Mtshali N.Z.,2023,African Journal of Urology
The role of artificial intelligence in the treatment of obstructive sleep apnea,Brennan H.L.,2023,Journal of Otolaryngology - Head and Neck Surgery
Effects of Baduanjin exercise on the physical function of middle-aged and elderly people: a systematic review and meta-analysis of randomized controlled trials,Lin H.,2023,BMC Complementary Medicine and Therapies
Vascular dysfunction and body mass index in African adults with HIV,Kaluba L.,2023,BMC Cardiovascular Disorders
A high Diabetes Risk Reduction Score (DRRS) is associated with a better cardio-metabolic profile among obese individuals,Siri G.,2023,BMC Endocrine Disorders
Penetrating gunshot wounds to the penis: a case report of combat patient injured in the war in Ukraine,Golovko S.,2023,International Journal of Emergency Medicine
Association between cannabis use and blood pressure levels according to comorbidities and socioeconomic status,Vallée A.,2023,Scientific Reports
Association of triglycerides to high-density lipoprotein cholesterol ratio to identify future prediabetes and type 2 diabetes mellitus: over one-decade follow-up in the Iranian population,Tohidi M.,2023,Diabetology and Metabolic Syndrome
Clinical significance of the hemodynamic gain index in patients undergoing exercise stress testing and coronary computed tomography angiography,Mansour M.J.,2023,BMC Cardiovascular Disorders
Challenges and outcomes of pregnancy in an uncorrected Tetralogy of Fallot with pulmonary atresia and major aorta-pulmonary collateral arteries (MAPCA): a case report,Thakur S.,2023,Egyptian Heart Journal
Association between red blood cell distribution width-to-albumin ratio and prognosis of patients with acute myocardial infarction,Li H.,2023,BMC Cardiovascular Disorders
"Hypertension self-care practice and its associated factors in Bale Zone, Southeast Ethiopia: A multi-center cross-sectional study",Tebelu D.T.,2023,Journal of Pharmaceutical Policy and Practice
Does tidal volume challenge improve the feasibility of pulse pressure variation in patients mechanically ventilated at low tidal volumes? A systematic review and meta-analysis,Wang X.,2023,Critical Care
"Evaluating the association between the Mediterranean-DASH Intervention for Neurodegenerative Delay (MIND) diet, mental health, and cardio-metabolic risk factors among individuals with obesity",Ardekani A.M.,2023,BMC Endocrine Disorders
Digital health interventions for non-communicable disease management in primary health care in low-and middle-income countries,Xiong S.,2023,npj Digital Medicine
Pathways linking relative deprivation to blood pressure control: the mediating role of depression and medication adherence among Chinese middle-aged and older hypertensive patients,Qin W.,2023,BMC Geriatrics
Effectiveness of a diabetes program based on digital health on capacity building and quality of care in type 2 diabetes: a pragmatic quasi-experimental study,Morelli D.M.,2023,BMC Health Services Research
The association between carbon and nitrogen stable isotope ratios of human hair and hypertension,Ahn S.V.,2023,Clinical Hypertension
Kidney dysfunction: prevalence and associated risk factors in a community-based study from the North West Province of South Africa,Navise N.H.,2023,BMC Nephrology
Incidence and risk of hypertension associated with PARP inhibitors in cancer patients: a systematic review and meta-analysis,Chen X.,2023,BMC Cancer
"Impact of the gut microbiota and associated metabolites on cardiometabolic traits, chronic diseases and human longevity: a Mendelian randomization study",Gagnon E.,2023,Journal of Translational Medicine
On the Dynamics of a Capacitive Microplate for Blood Pressure Sensing Based on Korotkoff Sounds,Taghizadeh N.,2023,Sensing and Imaging
Relationship of cardiovascular disease risk and hearing loss in a clinical population,Baiduc R.R.,2023,Scientific Reports
Coronary artery disease in a patient with Addison’s disease: a case report and literature review,Zhao R.,2023,BMC Cardiovascular Disorders
Primary care physician beliefs and practices regarding blood pressure measurement: results from BP-CHECK qualitative interviews,Hsu C.,2023,BMC Primary Care
"Sex-specific associations between systolic, diastolic and pulse pressure and hemostatic parameters in the population-based KORA-Fit study: a cross-sectional study",Vogel von Falckenstein J.,2023,Thrombosis Journal
Relationship of liver fat content with systemic metabolism and chronic complications in patients with type 2 diabetes mellitus,Ren W.,2023,Lipids in Health and Disease
Obesity difference on association blood malondialdehyde level and diastolic hypertension in the elderly population: a cross-sectional analysis,Huang Y.,2023,European Journal of Medical Research
Study protocol for the sheMATTERS study (iMproving cArdiovascular healTh in new moThERS): a randomized behavioral trial assessing the effect of a self-efficacy enhancing breastfeeding intervention on postpartum blood pressure and breastfeeding continuation in women with hypertensive disorders of pregnancy,Dayan N.,2023,BMC Pregnancy and Childbirth
Predictors of adverse diastolic remodeling in non-diabetic patients presenting with ST-elevation myocardial infarction,Al Ali L.,2023,BMC Cardiovascular Disorders
"Diagnosis, pathophysiology and preventive strategies for cardiac surgery-associated acute kidney injury: a narrative review",Yu Y.,2023,European Journal of Medical Research
Conscious connected breathing with breath retention intervention in adults with chronic low back pain: protocol for a randomized controlled pilot study,Pratscher S.D.,2023,Pilot and Feasibility Studies
Stress-Sensitive Regulators of Fetal Neurodevelopment in HIV and Preeclampsia: An Immunocytochemical Appraisal of Placental OGT and T4 Levels,Shallie P.D.,2023,Archivum Immunologiae et Therapiae Experimentalis
An unusual collateral from the sinoatrial nodal artery to the left carotid artery in a patient with Takayasu arteritis: a case report,Beijk M.A.,2023,Journal of Medical Case Reports
Using nutrigenomics to guide personalized nutrition supplementation for bolstering immune system,Yang J.,2023,Health Information Science and Systems
Epidemiology of obesity and high blood pressure among school-age children from military families: the largest report from our region,Dormanesh B.,2023,BMC Pediatrics
Emerging precision neoadjuvant systemic therapy for patients with resectable non-small cell lung cancer: current status and perspectives,Godoy L.A.,2023,Biomarker Research
Benefits and barriers of home blood pressure monitoring in pregnancy: perspectives of obstetric doctors from a Ghanaian tertiary hospital,Atluri N.,2023,BMC Pregnancy and Childbirth
The relationship between coping styles and family burden in chronic schizophrenic and bipolar type I patients’ caregivers,Abbaslou T.,2023,"Egyptian Journal of Neurology, Psychiatry and Neurosurgery"
Accumulated hypertension burden on atrial fibrillation risk in diabetes mellitus: a nationwide population study,Choi J.M.,2023,Cardiovascular Diabetology
"Effects of physical training on functional, clinical, morphological, behavioural and psychosocial outcomes in post-COVID-19 infection: COVID-19 and REhabilitation study (CORE-study)—a study protocol for a randomised controlled clinical trial",Delevatti R.S.,2023,Trials
Hyperglycaemia in pregnancy and offspring blood pressure: a systematic review and meta-analysis,Zhang X.,2023,Diabetology and Metabolic Syndrome
Distinct components of cardiovascular health are linked with age-related differences in cognitive abilities,King D.L.O.,2023,Scientific Reports
Features from the photoplethysmogram and the electrocardiogram for estimating changes in blood pressure,Finnegan E.,2023,Scientific Reports
Beneficial effects of Panax notoginseng (Burkill) F. H. Chen flower saponins in rats with metabolic hypertension by inhibiting the activation of the renin–angiotensin–aldosterone system through complement 3,Huang Q.,2023,BMC Complementary Medicine and Therapies
"The effect of bitter almond (Amygdalus communis L. var. Amara) gum as a functional food on metabolic profile, inflammatory markers, and mental health in type 2 diabetes women: a blinded randomized controlled trial protocol",Saati S.,2023,Trials
Music therapy for pain and anxiety in patients after cardiac valve replacement: a randomized controlled clinical trial,Dong Y.,2023,BMC Cardiovascular Disorders
Digital medicine: the next big leap advancing cardiovascular science,Kharlamov A.,2023,BMC Cardiovascular Disorders
Autonomic dysfunction after mild acute ischemic stroke and six months after: a prospective observational cohort study,Damkjær M.,2023,BMC Neurology
Laryngeal mask airway facilitates a safe and smooth emergence from anesthesia in patients undergoing craniotomy: a prospective randomized controlled study,Wei C.F.,2023,BMC Anesthesiology
Association of red blood cells and plasma transfusion versus red blood cell transfusion only with survival for treatment of major traumatic hemorrhage in prehospital setting in England: a multicenter study,Tucker H.,2023,Critical Care
Development and validation of a survival prediction model in elder patients with community-acquired pneumonia: a MIMIC-population-based study,Li N.,2023,BMC Pulmonary Medicine
Transcriptome analysis of mesenteric arterioles changes and its mechanisms in cirrhotic rats with portal hypertension,Wu G.,2023,BMC Genomics
Role of home blood pressure monitoring in resistant hypertension,Kim H.M.,2023,Clinical Hypertension
Intra-abdominal haemorrhage following an endoscopic retrograde cholangiopancreatography-related procedure: A rare complication,Kuno K.,2023,Endoscopy
High intake of dietary phytochemical index may be related to reducing risk of diabetic nephropathy: a case–control study,Bahrampour N.,2023,BMC Nutrition
Increased arterial pressure volume index and cardiovascular risk score in China,Jin L.,2023,BMC Cardiovascular Disorders
Effectiveness of a provider and patient-focused intervention to improve hypertension management and control in the primary health care setting in Cuba: a controlled before-after study,Londoño Agudelo E.,2023,BMC Primary Care
Long-term variability in physiological measures in relation to mortality and epigenetic aging: prospective studies in the USA and China,Chen H.,2023,BMC Medicine
A case report of autoimmune GFAP astrocytopathy presenting with abnormal heart rate variability and blood pressure variability,Wen P.y.,2023,BMC Neurology
Implication of changes in xanthine oxidase activity following hemodialysis,Fujioka H.,2023,BMC Nephrology
Towards an integrated blood pressure self-monitoring solution for stroke/TIA in Ireland: a mixed methods feasibility study for the TASMIN5S IRL randomised controlled trial,Doogue R.,2023,Pilot and Feasibility Studies
Lactate dehydrogenase is associated with flow-mediated dilation in hypertensive patients,Cai X.,2023,Scientific Reports
Intractable hyponatremia complicated by a reset osmostat: a case report,Kamel M.H.,2023,Journal of Medical Case Reports
Discovery of associative patterns between workplace sound level and physiological wellbeing using wearable devices and empirical Bayes modeling,Srinivasan K.,2023,npj Digital Medicine
Impact of glycemic control on biventricular function in patients with type 2 diabetes mellitus: a cardiac magnetic resonance tissue tracking study,Zhu J.,2023,Insights into Imaging
Hypertension contributes to exacerbated osteoarthritis pathophysiology in rats in a sex-dependent manner,Yeater T.D.,2023,Arthritis Research and Therapy
